num_date_time,answer
1_20220825 00,2113.8731097355762
1_20220825 01,1959.9990442813228
1_20220825 02,1777.4976373326313
1_20220825 03,1708.3099950472213
1_20220825 04,1713.6204842091736
1_20220825 05,1932.3053276962473
1_20220825 06,2291.1388825004083
1_20220825 07,2493.155832442915
1_20220825 08,2978.0683189825977
1_20220825 09,3472.378844898132
1_20220825 10,3979.8508541944075
1_20220825 11,4348.242683633696
1_20220825 12,4454.023255032198
1_20220825 13,4376.408537325307
1_20220825 14,4392.655734200556
1_20220825 15,4169.805952276719
1_20220825 16,4121.283856471528
1_20220825 17,3713.4732480006437
1_20220825 18,2943.8168463754846
1_20220825 19,2662.811412139172
1_20220825 20,2503.101690533015
1_20220825 21,2098.0576385664194
1_20220825 22,1649.8099976165427
1_20220825 23,2179.0181950657748
1_20220826 00,2336.0062854980433
1_20220826 01,2228.541684581384
1_20220826 02,2015.9750174750097
1_20220826 03,1893.2760955813924
1_20220826 04,1903.6102778157954
1_20220826 05,2101.5422489256616
1_20220826 06,2216.793634491901
1_20220826 07,2486.9510112051266
1_20220826 08,3093.9618741659488
1_20220826 09,3482.011148980981
1_20220826 10,4283.947117214871
1_20220826 11,4595.56339837264
1_20220826 12,4563.524885097179
1_20220826 13,4460.330151141117
1_20220826 14,4499.70281842713
1_20220826 15,4326.539546760243
1_20220826 16,4333.1514491564
1_20220826 17,3782.0656377758655
1_20220826 18,3144.54548791814
1_20220826 19,2962.5505322886497
1_20220826 20,2611.9497401468425
1_20220826 21,2198.7000996394563
1_20220826 22,1630.4351723743573
1_20220826 23,2128.372091408886
1_20220827 00,2152.7642610027424
1_20220827 01,2026.5434262971485
1_20220827 02,1849.9086086812924
1_20220827 03,1725.9193474727965
1_20220827 04,1811.3667092451017
1_20220827 05,2011.1224288741905
1_20220827 06,2237.1787546585288
1_20220827 07,2290.1136762266124
1_20220827 08,2507.240685201686
1_20220827 09,3079.5355629785245
1_20220827 10,3701.2766861884465
1_20220827 11,4020.5217455051725
1_20220827 12,3928.841307660515
1_20220827 13,4069.525488164962
1_20220827 14,4073.599153269747
1_20220827 15,3939.3874438613143
1_20220827 16,3938.625353724968
1_20220827 17,3632.3362132207767
1_20220827 18,2932.8556692843667
1_20220827 19,2647.628822544296
1_20220827 20,2380.6942020283436
1_20220827 21,2073.1778637526995
1_20220827 22,1521.4434283290739
1_20220827 23,1924.2202083427262
1_20220828 00,1829.4127488440206
1_20220828 01,1719.4406285335533
1_20220828 02,1618.591787783833
1_20220828 03,1498.8031312755563
1_20220828 04,1539.4187330401012
1_20220828 05,1587.7223880790018
1_20220828 06,1704.9459954106956
1_20220828 07,1729.6447646961428
1_20220828 08,2127.804851205142
1_20220828 09,2418.956975681111
1_20220828 10,3005.61446610656
1_20220828 11,3233.7350609013142
1_20220828 12,3417.523087893211
1_20220828 13,3403.267818861331
1_20220828 14,3379.7717003160924
1_20220828 15,3441.728663933824
1_20220828 16,3401.118619595363
1_20220828 17,3357.8889595523206
1_20220828 18,3008.470788004644
1_20220828 19,2587.1080747421624
1_20220828 20,2430.7203918014557
1_20220828 21,2064.6401915457027
1_20220828 22,1506.1043076518995
1_20220828 23,2244.8115533669643
1_20220829 00,2311.173743123354
1_20220829 01,2171.638548159829
1_20220829 02,2046.7637449730205
1_20220829 03,1888.3755502879765
1_20220829 04,1998.2674543113974
1_20220829 05,2210.9393116487877
1_20220829 06,2332.697921656352
1_20220829 07,2436.668734214922
1_20220829 08,2857.3952604694673
1_20220829 09,3422.7959291491807
1_20220829 10,3989.996607896062
1_20220829 11,4192.896673511849
1_20220829 12,4243.168415501153
1_20220829 13,4309.008289177379
1_20220829 14,4375.860957863439
1_20220829 15,4215.362962446302
1_20220829 16,4087.743585318375
1_20220829 17,3676.605911316832
1_20220829 18,2988.596279943557
1_20220829 19,2744.5576861409872
1_20220829 20,2456.484625796911
1_20220829 21,2094.5386015379113
1_20220829 22,1529.9384732282256
1_20220829 23,2117.6566619160644
1_20220830 00,2160.5022149198676
1_20220830 01,2029.0839788825951
1_20220830 02,1913.467126645509
1_20220830 03,1656.182947057469
1_20220830 04,1699.9923657984693
1_20220830 05,1969.9994479124514
1_20220830 06,2161.605892091803
